"Chained CPI for All Urban Consumers, U.S. city average (C-CPI-U)",,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,SUUR0000SA0,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series Title:,"All items in U.S. city average, all urban consumers, chained, not seasonally adjusted",,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,
Item:,All items,,,,,,,,,,,,
Base Period:,DECEMBER 1999=100,,,,,,,,,,,,
Years:,2001 to 2021,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual CPI Rate
2001,103.3,103.7,103.9,104.2,104.6,104.8,104.5,104.6,104.9,104.7,104.4,103.9,104.29
2002,104.2,104.5,105.1,105.6,105.6,105.6,105.7,106,106.3,106.4,106.3,106,105.61
2003,106.5,107.3,107.9,107.7,107.5,107.6,107.7,108.2,108.5,108.4,108,107.8,107.76
2004,108.5,109.1,109.7,110,110.6,110.8,110.7,110.7,111,111.6,111.6,111.2,110.46
2005,111.3,111.9,112.6,113.4,113.3,113.2,113.7,114.3,115.6,115.7,114.9,114.4,113.69
2006,115.2,115.4,116,116.9,117.5,117.7,118.1,118.3,117.8,117.1,116.9,117,116.99
2007,117.33,117.877,118.913,119.666,120.292,120.439,120.377,120.288,120.638,120.885,121.481,121.295,119.96
2008,121.867,122.25,123.323,124.116,125.171,126.307,126.918,126.594,126.551,125.5,123.044,121.557,124.43
2009,122.095,122.598,122.803,123.053,123.427,124.485,124.293,124.62,124.706,124.791,124.788,124.544,123.85
2010,124.987,124.972,125.442,125.62,125.678,125.521,125.536,125.756,125.83,125.969,125.92,126.143,125.61
2011,126.778,127.363,128.585,129.483,129.999,129.846,129.983,130.351,130.635,130.373,130.196,129.844,129.45
2012,130.438,130.953,131.905,132.284,132.154,131.956,131.731,132.43,132.988,132.892,132.208,131.77,131.98
2013,132.137,133.204,133.558,133.421,133.626,133.9,133.919,134.098,134.255,133.876,133.596,133.509,133.59
2014,134.017,134.542,135.375,135.771,136.216,136.433,136.392,136.127,136.211,135.891,135.107,134.207,135.52
2015,133.487,134.053,134.969,135.222,135.977,136.391,136.371,136.125,135.837,135.735,135.393,134.788,135.36
2016,134.966,134.953,135.655,136.332,136.895,137.329,137.007,137.026,137.328,137.536,137.253,137.221,136.63
2017,138.035,138.403,138.461,138.81,138.922,138.989,138.755,139.128,139.878,139.782,139.72,139.546,139.04
2018,140.239,140.805,141.142,141.662,142.146,142.349,142.317,142.317,142.489,142.7,142.238,141.699,141.84
2019,142.001,142.571,143.297,143.926,144.183,144.243,144.409,144.388,144.428,144.629,144.518,144.251,143.9
2020,144.813,145.193,144.913,144.142,144.018,144.847,145.747,146.27,146.417,146.382,146.242,146.408,145.45
2021,147.125,147.845,148.746,149.903,151.022,152.295,153.076,153.301,153.734,154.973,155.687,156.116,151.99
