Date,CPI
1/1/2001,103.3
2/1/2001,103.7
3/1/2001,103.9
4/1/2001,104.2
5/1/2001,104.6
6/1/2001,104.8
7/1/2001,104.5
8/1/2001,104.6
9/1/2001,104.9
10/1/2001,104.7
11/1/2001,104.4
12/1/2001,103.9
1/1/2002,104.2
2/1/2002,104.5
3/1/2002,105.1
4/1/2002,105.6
5/1/2002,105.6
6/1/2002,105.6
7/1/2002,105.7
8/1/2002,106
9/1/2002,106.3
10/1/2002,106.4
11/1/2002,106.3
12/1/2002,106
1/1/2003,106.5
2/1/2003,107.3
3/1/2003,107.9
4/1/2003,107.7
5/1/2003,107.5
6/1/2003,107.6
7/1/2003,107.7
8/1/2003,108.2
9/1/2003,108.5
10/1/2003,108.4
11/1/2003,108
12/1/2003,107.8
1/1/2004,108.5
2/1/2004,109.1
3/1/2004,109.7
4/1/2004,110
5/1/2004,110.6
6/1/2004,110.8
7/1/2004,110.7
8/1/2004,110.7
9/1/2004,111
10/1/2004,111.6
11/1/2004,111.6
12/1/2004,111.2
1/1/2005,111.3
2/1/2005,111.9
3/1/2005,112.6
4/1/2005,113.4
5/1/2005,113.3
6/1/2005,113.2
7/1/2005,113.7
8/1/2005,114.3
9/1/2005,115.6
10/1/2005,115.7
11/1/2005,114.9
12/1/2005,114.4
1/1/2006,115.2
2/1/2006,115.4
3/1/2006,116
4/1/2006,116.9
5/1/2006,117.5
6/1/2006,117.7
7/1/2006,118.1
8/1/2006,118.3
9/1/2006,117.8
10/1/2006,117.1
11/1/2006,116.9
12/1/2006,117
1/1/2007,117.33
2/1/2007,117.877
3/1/2007,118.913
4/1/2007,119.666
5/1/2007,120.292
6/1/2007,120.439
7/1/2007,120.377
8/1/2007,120.288
9/1/2007,120.638
10/1/2007,120.885
11/1/2007,121.481
12/1/2007,121.295
1/1/2008,121.867
2/1/2008,122.25
3/1/2008,123.323
4/1/2008,124.116
5/1/2008,125.171
6/1/2008,126.307
7/1/2008,126.918
8/1/2008,126.594
9/1/2008,126.551
10/1/2008,125.5
11/1/2008,123.044
12/1/2008,121.557
1/1/2009,122.095
2/1/2009,122.598
3/1/2009,122.803
4/1/2009,123.053
5/1/2009,123.427
6/1/2009,124.485
7/1/2009,124.293
8/1/2009,124.62
9/1/2009,124.706
10/1/2009,124.791
11/1/2009,124.788
12/1/2009,124.544
1/1/2010,124.987
2/1/2010,124.972
3/1/2010,125.442
4/1/2010,125.62
5/1/2010,125.678
6/1/2010,125.521
7/1/2010,125.536
8/1/2010,125.756
9/1/2010,125.83
10/1/2010,125.969
11/1/2010,125.92
12/1/2010,126.143
1/1/2011,126.778
2/1/2011,127.363
3/1/2011,128.585
4/1/2011,129.483
5/1/2011,129.999
6/1/2011,129.846
7/1/2011,129.983
8/1/2011,130.351
9/1/2011,130.635
10/1/2011,130.373
11/1/2011,130.196
12/1/2011,129.844
1/1/2012,130.438
2/1/2012,130.953
3/1/2012,131.905
4/1/2012,132.284
5/1/2012,132.154
6/1/2012,131.956
7/1/2012,131.731
8/1/2012,132.43
9/1/2012,132.988
10/1/2012,132.892
11/1/2012,132.208
12/1/2012,131.77
1/1/2013,132.137
2/1/2013,133.204
3/1/2013,133.558
4/1/2013,133.421
5/1/2013,133.626
6/1/2013,133.9
7/1/2013,133.919
8/1/2013,134.098
9/1/2013,134.255
10/1/2013,133.876
11/1/2013,133.596
12/1/2013,133.509
1/1/2014,134.017
2/1/2014,134.542
3/1/2014,135.375
4/1/2014,135.771
5/1/2014,136.216
6/1/2014,136.433
7/1/2014,136.392
8/1/2014,136.127
9/1/2014,136.211
10/1/2014,135.891
11/1/2014,135.107
12/1/2014,134.207
1/1/2015,133.487
2/1/2015,134.053
3/1/2015,134.969
4/1/2015,135.222
5/1/2015,135.977
6/1/2015,136.391
7/1/2015,136.371
8/1/2015,136.125
9/1/2015,135.837
10/1/2015,135.735
11/1/2015,135.393
12/1/2015,134.788
1/1/2016,134.966
2/1/2016,134.953
3/1/2016,135.655
4/1/2016,136.332
5/1/2016,136.895
6/1/2016,137.329
7/1/2016,137.007
8/1/2016,137.026
9/1/2016,137.328
10/1/2016,137.536
11/1/2016,137.253
12/1/2016,137.221
1/1/2017,138.035
2/1/2017,138.403
3/1/2017,138.461
4/1/2017,138.81
5/1/2017,138.922
6/1/2017,138.989
7/1/2017,138.755
8/1/2017,139.128
9/1/2017,139.878
10/1/2017,139.782
11/1/2017,139.72
12/1/2017,139.546
1/1/2018,140.239
2/1/2018,140.805
3/1/2018,141.142
4/1/2018,141.662
5/1/2018,142.146
6/1/2018,142.349
7/1/2018,142.317
8/1/2018,142.317
9/1/2018,142.489
10/1/2018,142.7
11/1/2018,142.238
12/1/2018,141.699
1/1/2019,142.001
2/1/2019,142.571
3/1/2019,143.297
4/1/2019,143.926
5/1/2019,144.183
6/1/2019,144.243
7/1/2019,144.409
8/1/2019,144.388
9/1/2019,144.428
10/1/2019,144.629
11/1/2019,144.518
12/1/2019,144.251
1/1/2020,144.813
2/1/2020,145.193
3/1/2020,144.913
4/1/2020,144.142
5/1/2020,144.018
6/1/2020,144.847
7/1/2020,145.747
8/1/2020,146.27
9/1/2020,146.417
10/1/2020,146.382
11/1/2020,146.242
12/1/2020,146.408
1/1/2021,147.125
2/1/2021,147.845
3/1/2021,148.746
4/1/2021,149.903
5/1/2021,151.022
6/1/2021,152.295
7/1/2021,153.076
8/1/2021,153.301
9/1/2021,153.734
10/1/2021,154.973
11/1/2021,155.687
12/1/2021,156.116
