Date, Interest Rates 
1/1/2001, 5.98 
2/1/2001, 5.49 
3/1/2001, 5.31 
4/1/2001, 4.80 
5/1/2001, 4.21 
6/1/2001, 3.97 
7/1/2001, 3.77 
8/1/2001, 3.65 
9/1/2001, 3.07 
10/1/2001, 2.49 
11/1/2001, 2.09 
12/1/2001, 1.82 
1/1/2002, 1.73 
2/1/2002, 1.74 
3/1/2002, 1.73 
4/1/2002, 1.75 
5/1/2002, 1.75 
6/1/2002, 1.75 
7/1/2002, 1.73 
8/1/2002, 1.74 
9/1/2002, 1.75 
10/1/2002, 1.75 
11/1/2002, 1.34 
12/1/2002, 1.24 
1/1/2003, 1.24 
2/1/2003, 1.26 
3/1/2003, 1.25 
4/1/2003, 1.26 
5/1/2003, 1.26 
6/1/2003, 1.22 
7/1/2003, 1.01 
8/1/2003, 1.03 
9/1/2003, 1.01 
10/1/2003, 1.01 
11/1/2003, 1.00 
12/1/2003, 0.98 
1/1/2004, 1.00 
2/1/2004, 1.01 
3/1/2004, 1.00 
4/1/2004, 1.00 
5/1/2004, 1.00 
6/1/2004, 1.03 
7/1/2004, 1.26 
8/1/2004, 1.43 
9/1/2004, 1.61 
10/1/2004, 1.76 
11/1/2004, 1.93 
12/1/2004, 2.16 
1/1/2005, 2.28 
2/1/2005, 2.50 
3/1/2005, 2.63 
4/1/2005, 2.79 
5/1/2005, 3.00 
6/1/2005, 3.04 
7/1/2005, 3.26 
8/1/2005, 3.50 
9/1/2005, 3.62 
10/1/2005, 3.78 
11/1/2005, 4.00 
12/1/2005, 4.16 
1/1/2006, 4.29 
2/1/2006, 4.49 
3/1/2006, 4.59 
4/1/2006, 4.79 
5/1/2006, 4.94 
6/1/2006, 4.99 
7/1/2006, 5.24 
8/1/2006, 5.25 
9/1/2006, 5.25 
10/1/2006, 5.25 
11/1/2006, 5.25 
12/1/2006, 5.24 
1/1/2007, 5.25 
2/1/2007, 5.26 
3/1/2007, 5.26 
4/1/2007, 5.25 
5/1/2007, 5.25 
6/1/2007, 5.25 
7/1/2007, 5.26 
8/1/2007, 5.02 
9/1/2007, 4.94 
10/1/2007, 4.76 
11/1/2007, 4.49 
12/1/2007, 4.24 
1/1/2008, 3.94 
2/1/2008, 2.98 
3/1/2008, 2.61 
4/1/2008, 2.28 
5/1/2008, 1.98 
6/1/2008, 2.00 
7/1/2008, 2.01 
8/1/2008, 2.00 
9/1/2008, 1.81 
10/1/2008, 0.97 
11/1/2008, 0.39 
12/1/2008, 0.16 
1/1/2009, 0.15 
2/1/2009, 0.22 
3/1/2009, 0.18 
4/1/2009, 0.15 
5/1/2009, 0.18 
6/1/2009, 0.21 
7/1/2009, 0.16 
8/1/2009, 0.16 
9/1/2009, 0.15 
10/1/2009, 0.12 
11/1/2009, 0.12 
12/1/2009, 0.12 
1/1/2010, 0.11 
2/1/2010, 0.13 
3/1/2010, 0.16 
4/1/2010, 0.20 
5/1/2010, 0.20 
6/1/2010, 0.18 
7/1/2010, 0.18 
8/1/2010, 0.19 
9/1/2010, 0.19 
10/1/2010, 0.19 
11/1/2010, 0.19 
12/1/2010, 0.18 
1/1/2011, 0.17 
2/1/2011, 0.16 
3/1/2011, 0.14 
4/1/2011, 0.10 
5/1/2011, 0.09 
6/1/2011, 0.09 
7/1/2011, 0.07 
8/1/2011, 0.10 
9/1/2011, 0.08 
10/1/2011, 0.07 
11/1/2011, 0.08 
12/1/2011, 0.07 
1/1/2012, 0.08 
2/1/2012, 0.10 
3/1/2012, 0.13 
