Date,gdp,,,,
1/1/2001,10470.23,,,,
2/1/2001,10470.23,,,,
3/1/2001,10470.23,,,,
4/1/2001,10599.00,,,,
5/1/2001,10599.00,,,,
6/1/2001,10599.00,,,,
7/1/2001,10598.02,,,,
8/1/2001,10598.02,,,,
9/1/2001,10598.02,,,,
10/1/2001,10660.47,,,,
11/1/2001,10660.47,,,,
12/1/2001,10660.47,,,,
1/1/2002,10783.50,,,,
2/1/2002,10783.50,,,,
3/1/2002,10783.50,,,,
4/1/2002,10887.46,,,,
5/1/2002,10887.46,,,,
6/1/2002,10887.46,,,,
7/1/2002,10984.04,,,,
8/1/2002,10984.04,,,,
9/1/2002,10984.04,,,,
10/1/2002,11061.43,,,,
11/1/2002,11061.43,,,,
12/1/2002,11061.43,,,,
1/1/2003,11174.13,,,,
2/1/2003,11174.13,,,,
3/1/2003,11174.13,,,,
4/1/2003,11312.77,,,,
5/1/2003,11312.77,,,,
6/1/2002,11312.77,,,,
7/1/2003,11566.67,,,,
8/1/2003,11566.67,,,,
9/1/2003,11566.67,,,,
10/1/2003,11772.23,,,,
11/1/2003,11772.23,,,,
12/1/2003,11772.23,,,,
1/1/2004,11923.45,,,,
2/1/2004,11923.45,,,,
3/1/2004,11923.45,,,,
4/1/2004,12112.82,,,,
5/1/2004,12112.82,,,,
6/1/2004,12112.82,,,,
7/1/2004,12305.31,,,,
8/1/2004,12305.31,,,,
9/1/2004,12305.31,,,,
10/1/2004,12527.21,,,,
11/1/2004,12527.21,,,,
12/1/2004,12527.21,,,,
1/1/2005,12767.29,,,,
2/1/2005,12767.29,,,,
3/1/2005,12767.29,,,,
4/1/2005,12922.66,,,,
5/1/2005,12922.66,,,,
6/1/2005,12922.66,,,,
7/1/2005,13142.64,,,,
8/1/2005,13142.64,,,,
9/1/2005,13142.64,,,,
10/1/2005,13324.20,,,,
11/1/2005,13324.20,,,,
12/1/2005,13324.20,,,,
1/1/2006,13599.16,,,,
2/1/2006,13599.16,,,,
3/1/2006,13599.16,,,,
4/1/2006,13753.42,,,,
5/1/2006,13753.42,,,,
