date, Inflation Rate (%), Annual Change, 
1960,1.458,,
1961,1.0707,-0.39,
1962,1.1988,0.13,
1963,1.2397,0.04,
1964,1.2789,0.04,
1965,1.5852,0.31,
1966,3.0151,1.43,
1967,2.7728,-0.24,
1968,4.2718,1.5,
1969,5.4624,1.19,
1970,5.8383,0.38,
1971,4.2928,-1.55,
1972,3.2723,-1.02,
1973,6.1778,2.91,
1974,11.0548,4.88,
1975,9.1431,-1.91,
1976,5.7448,-3.4,
1977,6.5017,0.76,
1978,7.631,1.13,
1979,11.2545,3.62,
1980,13.5492,2.29,
1981,10.3347,-3.21,
1982,6.1314,-4.2,
1983,3.2124,-2.92,
1984,4.3005,1.09,
1985,3.5456,-0.75,
1986,1.898,-1.65,
1987,3.6646,1.77,
1988,4.0777,0.41,
1989,4.827,0.75,
1990,5.398,0.57,
1991,4.235,-1.16,
1992,3.0288,-1.21,
1993,2.9517,-0.08,
1994,2.6074,-0.34,
1995,2.8054,0.2,
1996,2.9312,0.13,
1997,2.3377,-0.59,
1998,1.5523,-0.79,
1999,2.188,0.64,
2000,3.3769,1.19,
2001,2.8262,-0.55,
2002,1.586,-1.24,
2003,2.2701,0.68,
2004,2.6772,0.41,
2005,3.3927,0.72,
2006,3.2259,-0.17,
2007,2.8527,-0.37,
2008,3.8391,0.99,
2009,-0.3555,-4.19,
2010,1.64,2,
2011,3.1568,1.52,
2012,2.0693,-1.09,
2013,1.4648,-0.6,
2014,1.6222,0.16,
2015,0.1186,-1.5,
2016,1.2616,1.14,
2017,2.1301,0.87,
2018,2.4426,0.31,
2019,1.8122,-0.63,
2020,1.2336,-0.58,
2021,4.6979,3.46,
