DATE,Unemployment_rate,GDP,PPI,Inflation_Rate,CPI,Interest Rates
1/1/2001,4.2,10470.231,140,0.01,103.30,5.98
2/1/2001,4.2,10470.231,137.4,0.02,103.70,5.49
3/1/2001,4.3,10470.231,135.9,0.03,103.90,5.31
4/1/2001,4.4,10599,136.4,0.04,104.20,4.80
5/1/2001,4.3,10599,136.8,0.05,104.60,4.21
6/1/2001,4.5,10599,135.5,0.05,104.80,3.97
7/1/2001,4.6,10598.02,133.4,0.05,104.50,3.77
8/1/2001,4.9,10598.02,133.4,0.05,104.60,3.65
9/1/2001,5,10598.02,133.3,0.05,104.90,3.07
10/1/2001,5.3,10660.465,130.3,0.06,104.70,2.49
11/1/2001,5.5,10660.465,129.8,0.07,104.40,2.09
12/1/2001,5.7,10660.465,128.1,0.07,103.90,1.82
1/1/2002,5.7,10783.5,128.5,0.02,104.20,1.73
2/1/2002,5.7,10783.5,128.4,0.02,104.50,1.74
3/1/2002,5.7,10783.5,129.8,0.02,105.10,1.73
4/1/2002,5.9,10887.46,130.8,0.00,105.60,1.75
5/1/2002,5.8,10887.46,130.8,0.00,105.60,1.75
6/1/2002,5.8,10887.46,130.9,0.01,105.60,1.75
7/1/2002,5.8,10984.04,131.2,0.01,105.70,1.73
8/1/2002,5.7,10984.04,131.5,0.01,106.00,1.74
9/1/2002,5.7,10984.04,132.3,0.01,106.30,1.75
10/1/2002,5.7,11061.433,133.2,0.01,106.40,1.75
11/1/2002,5.9,11061.433,133.1,0.01,106.30,1.34
12/1/2002,6,11061.433,132.9,0.01,106.00,1.24
1/1/2003,5.8,11174.129,135.3,0.02,106.50,1.24
2/1/2003,5.9,11174.129,137.6,0.02,107.30,1.26
3/1/2003,5.9,11174.129,141.2,0.02,107.90,1.25
4/1/2003,6,11312.766,136.8,0.02,107.70,1.26
5/1/2003,6.1,11312.766,136.7,0.02,107.50,1.26
6/1/2002,6.3,11312.766,138,0.02,107.60,1.22
7/1/2003,6.2,11566.669,137.7,0.02,107.70,1.01
8/1/2003,6.1,11566.669,138,0.02,108.20,1.03
9/1/2003,6.1,11566.669,138.5,0.02,108.50,1.01
10/1/2003,6,11772.234,139.3,0.02,108.40,1.01
11/1/2003,5.8,11772.234,138.9,0.02,108.00,1.00
12/1/2003,5.7,11772.234,139.5,0.02,107.80,0.98
1/1/2004,5.7,11923.447,141.4,0.02,108.50,1.00
2/1/2004,5.6,11923.447,142.1,0.02,109.10,1.01
3/1/2004,5.8,11923.447,143.1,0.02,109.70,1.00
4/1/2004,5.6,12112.815,144.8,0.02,110.00,1.00
5/1/2004,5.6,12112.815,146.8,0.03,110.60,1.00
6/1/2004,5.6,12112.815,147.2,0.03,110.80,1.03
7/1/2004,5.5,12305.307,147.4,0.03,110.70,1.26
8/1/2004,5.4,12305.307,148,0.03,110.70,1.43
9/1/2004,5.4,12305.307,147.7,0.02,111.00,1.61
10/1/2004,5.5,12527.214,150,0.03,111.60,1.76
11/1/2004,5.4,12527.214,151.4,0.02,111.60,1.93
12/1/2004,5.4,12527.214,150.2,0.02,111.20,2.16
1/1/2005,5.3,12767.286,150.9,0.03,111.30,2.28
2/1/2005,5.4,12767.286,151.6,0.03,111.90,2.50
3/1/2005,5.2,12767.286,153.7,0.02,112.60,2.63
4/1/2005,5.2,12922.656,155,0.02,113.40,2.79
5/1/2005,5.1,12922.656,154.3,0.02,113.30,3.00
6/1/2005,5,12922.656,154.3,0.02,113.20,3.04
7/1/2005,5,13142.642,156.3,0.02,113.70,3.26
8/1/2005,4.9,13142.642,157.6,0.02,114.30,3.50
9/1/2005,5,13142.642,162.2,0.02,115.60,3.62
10/1/2005,5,13324.204,166.2,0.02,115.70,3.78
11/1/2005,5,13324.204,163.7,0.02,114.90,4.00
12/1/2005,4.9,13324.204,163,0.02,114.40,4.16
1/1/2006,4.7,13599.16,164.3,0.01,115.20,4.29
2/1/2006,4.8,13599.16,161.8,0.01,115.40,4.49
3/1/2006,4.7,13599.16,162.2,0.01,116.00,4.59
4/1/2006,4.7,13753.424,164.3,0.01,116.90,4.79
5/1/2006,4.6,13753.424,165.8,0.01,117.50,4.94
6/1/2006,4.6,13753.424,166.1,0.01,117.70,4.99
7/1/2006,4.7,13870.188,166.8,0.01,118.10,5.24
8/1/2006,4.7,13870.188,167.9,0.01,118.30,5.25
9/1/2006,4.5,13870.188,165.4,0.01,117.80,5.25
10/1/2006,4.4,14039.56,162.2,0.02,117.10,5.25
11/1/2006,4.5,14039.56,164.6,0.02,116.90,5.25
12/1/2006,4.4,14039.56,165.6,0.02,117.00,5.24
1/1/2007,4.6,14215.651,164,0.00,117.33,5.25
2/1/2007,4.5,14215.651,166.8,0.00,117.88,5.26
3/1/2007,4.4,14215.651,169.3,0.00,118.91,5.26
4/1/2007,4.5,14402.082,171.4,0.00,119.67,5.25
5/1/2007,4.4,14402.082,173.3,0.00,120.29,5.25
6/1/2007,4.6,14402.082,173.8,0.00,120.44,5.25
7/1/2007,4.7,14564.117,175.1,0.00,120.38,5.26
8/1/2007,4.6,14564.117,172.4,0.00,120.29,5.02
9/1/2007,4.7,14564.117,173.5,0.00,120.64,4.94
10/1/2007,4.7,14715.058,174.7,0.00,120.89,4.76
11/1/2007,4.7,14715.058,179,0.01,121.48,4.49
12/1/2007,5,14715.058,178.6,0.01,121.30,4.24
1/1/2008,5,14706.538,181,0.02,121.87,3.94
2/1/2008,4.9,14706.538,182.7,0.01,122.25,2.98
3/1/2008,5.1,14706.538,187.9,0.02,123.32,2.61
4/1/2008,5,14865.701,190.9,0.02,124.12,2.28
5/1/2008,5.4,14865.701,196.6,0.02,125.17,1.98
6/1/2008,5.6,14865.701,200.5,0.02,126.31,2.00
7/1/2008,5.8,14898.999,205.5,0.02,126.92,2.01
8/1/2008,6.1,14898.999,199,0.02,126.59,2.00
9/1/2008,6.1,14898.999,196.9,0.02,126.55,1.81
10/1/2008,6.5,14608.208,186.4,0.02,125.50,0.97
11/1/2008,6.8,14608.208,176.8,0.01,123.04,0.39
12/1/2008,7.3,14608.208,170.9,0.01,121.56,0.16
1/1/2009,7.8,14430.901,171.2,0.02,122.10,0.15
2/1/2009,8.3,14430.901,169.3,0.02,122.60,0.22
