DATE,Inflation_Rate
1/1/2001,0.01400
2/1/2001,0.01680
3/1/2001,0.02620
4/1/2001,0.04160
5/1/2001,0.04990
6/1/2001,0.05390
7/1/2001,0.05370
8/1/2001,0.05250
9/1/2001,0.05390
10/1/2001,0.06220
11/1/2001,0.06810
12/1/2001,0.07040
1/1/2002,0.02490
2/1/2002,0.02340
3/1/2002,0.01540
4/1/2002,0.00330
5/1/2002,0.00120
6/1/2002,0.00650
7/1/2002,0.00990
8/1/2002,0.01310
9/1/2002,0.01370
10/1/2002,0.01180
11/1/2002,0.01180
12/1/2002,0.01360
1/1/2003,0.01550
2/1/2003,0.01520
3/1/2003,0.01860
4/1/2003,0.02000
5/1/2003,0.01790
6/1/2003,0.01650
7/1/2003,0.01810
8/1/2003,0.01750
9/1/2003,0.01710
10/1/2003,0.01760
11/1/2003,0.02050
12/1/2003,0.02290
1/1/2004,0.02070
2/1/2004,0.02210
3/1/2004,0.02360
4/1/2004,0.02460
5/1/2004,0.02800
6/1/2004,0.02870
7/1/2004,0.02950
8/1/2004,0.02700
9/1/2004,0.02280
10/1/2004,0.02520
11/1/2004,0.02180
12/1/2004,0.01910
1/1/2005,0.02500
2/1/2005,0.02740
3/1/2005,0.02380
4/1/2005,0.02200
5/1/2005,0.01870
6/1/2005,0.01630
7/1/2005,0.01720
8/1/2005,0.01940
9/1/2005,0.02230
10/1/2005,0.02040
11/1/2005,0.02200
12/1/2005,0.02110
1/1/2006,0.01370
2/1/2006,0.01020
3/1/2006,0.00850
4/1/2006,0.01130
5/1/2006,0.01020
6/1/2006,0.01010
7/1/2006,0.00840
8/1/2006,0.01060
9/1/2006,0.01460
10/1/2006,0.01640
11/1/2006,0.01690
12/1/2006,0.02080
1/1/2007,-0.00090
2/1/2007,-0.00030
3/1/2007,-0.00070
4/1/2007,-0.00200
5/1/2007,-0.00040
6/1/2007,0.00120
7/1/2007,0.00170
8/1/2007,0.00200
9/1/2007,-0.00040
10/1/2007,0.00170
11/1/2007,0.00500
12/1/2007,0.00730
1/1/2008,0.01580
2/1/2008,0.01130
3/1/2008,0.01510
4/1/2008,0.01950
5/1/2008,0.02130
6/1/2008,0.02070
7/1/2008,0.01990
8/1/2008,0.01700
9/1/2008,0.01660
10/1/2008,0.01660
11/1/2008,0.01320
12/1/2008,0.00760
1/1/2009,0.01600
2/1/2009,0.01980
3/1/2009,0.01470
4/1/2009,0.01060
5/1/2009,0.01360
6/1/2009,0.01750
7/1/2009,0.01960
8/1/2009,0.01520
9/1/2009,0.01190
10/1/2009,0.00960
11/1/2009,0.01240
12/1/2009,0.01500
1/1/2010,0.02930
2/1/2010,0.02870
3/1/2010,0.02650
4/1/2010,0.02300
5/1/2010,0.01700
6/1/2010,0.01660
7/1/2010,0.01410
8/1/2010,0.01690
9/1/2010,0.01990
10/1/2010,0.02160
11/1/2010,0.01760
12/1/2010,0.01740
1/1/2011,0.01630
2/1/2011,0.02110
3/1/2011,0.02680
4/1/2011,0.03160
5/1/2011,0.03570
6/1/2011,0.03560
7/1/2011,0.03630
8/1/2011,0.03770
9/1/2011,0.03870
10/1/2011,0.03530
11/1/2011,0.03390
12/1/2011,0.02960
1/1/2012,0.02630
2/1/2012,0.02140
3/1/2012,0.02310
4/1/2012,0.02240
5/1/2012,0.02020
6/1/2012,0.01050
7/1/2012,0.01240
8/1/2012,0.01150
9/1/2012,0.01140
10/1/2012,0.01170
11/1/2012,0.01140
12/1/2012,0.01500
1/1/2013,0.00030
2/1/2013,0.00240
3/1/2013,-0.00380
4/1/2013,-0.00740
5/1/2013,-0.01280
6/1/2013,-0.01430
7/1/2013,-0.02100
8/1/2013,-0.01480
9/1/2013,-0.01290
10/1/2013,-0.00180
11/1/2013,0.01840
12/1/2013,0.02720
1/1/2014,0.04280
2/1/2014,0.04030
3/1/2014,0.03980
4/1/2014,0.03940
5/1/2014,0.04180
6/1/2014,0.05020
7/1/2014,0.05600
8/1/2014,0.05370
9/1/2014,0.04940
10/1/2014,0.03660
11/1/2014,0.01070
12/1/2014,0.00090
1/1/2015,0.02080
2/1/2015,0.02420
3/1/2015,0.02780
4/1/2015,0.02570
5/1/2015,0.02690
6/1/2015,0.02690
7/1/2015,0.02360
8/1/2015,0.01970
9/1/2015,0.02760
10/1/2015,0.03540
11/1/2015,0.04310
12/1/2015,0.04080
1/1/2016,0.03990
2/1/2016,0.03600
3/1/2016,0.03360
4/1/2016,0.03550
5/1/2016,0.04170
6/1/2016,0.04320
7/1/2016,0.04150
8/1/2016,0.03820
9/1/2016,0.02060
10/1/2016,0.01310
11/1/2016,0.01970
12/1/2016,0.02540
1/1/2017,0.02970
2/1/2017,0.03010
3/1/2017,0.03150
4/1/2017,0.03510
5/1/2017,0.02800
6/1/2017,0.02530
7/1/2017,0.03170
8/1/2017,0.03640
9/1/2017,0.04690
10/1/2017,0.04350
11/1/2017,0.03460
12/1/2017,0.03420
1/1/2018,0.01930
2/1/2018,0.01690
3/1/2018,0.01740
4/1/2018,0.02290
5/1/2018,0.03050
6/1/2018,0.03270
7/1/2018,0.02990
8/1/2018,0.02650
9/1/2018,0.02540
10/1/2018,0.03190
11/1/2018,0.03520
12/1/2018,0.03260
1/1/2019,0.02600
2/1/2019,0.02980
3/1/2019,0.03020
4/1/2019,0.02230
5/1/2019,0.02060
6/1/2019,0.02110
7/1/2019,0.02110
8/1/2019,0.02160
9/1/2019,0.02320
10/1/2019,0.02040
11/1/2019,0.01770
12/1/2019,0.01880
1/1/2020,0.01140
2/1/2020,0.01140
3/1/2020,0.01480
4/1/2020,0.01640
5/1/2020,0.01180
6/1/2020,0.01070
7/1/2020,0.01470
8/1/2020,0.01800
9/1/2020,0.01510
10/1/2020,0.02030
11/1/2020,0.02200
12/1/2020,0.02380
1/1/2021,0.03730
2/1/2021,0.03530
3/1/2021,0.02920
4/1/2021,0.03270
5/1/2021,0.03620
6/1/2021,0.03250
