Macrotrends Data Download

U.S. GDP Growth Rate 1961-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,2.3
1962-12-31,6.1,3.8
1963-12-31,4.4,-1.7
1964-12-31,5.8,1.4
1965-12-31,6.4,0.6
1966-12-31,6.5,0.1
1967-12-31,2.5,-4
1968-12-31,4.8,2.3
1969-12-31,3.1,-1.7
1970-12-31,-0.2835,-3.38
1971-12-31,3.2934,3.58
1972-12-31,5.2589,1.97
1973-12-31,5.6457,0.39
1974-12-31,-0.5406,-6.19
1975-12-31,-0.2055,0.34
1976-12-31,5.3881,5.59
1977-12-31,4.6242,-0.76
1978-12-31,5.5353,0.91
1979-12-31,3.1661,-2.37
1980-12-31,-0.2567,-3.42
1981-12-31,2.5377,2.79
1982-12-31,-1.8029,-4.34
1983-12-31,4.5839,6.39
1984-12-31,7.2366,2.65
1985-12-31,4.1697,-3.07
1986-12-31,3.4626,-0.71
1987-12-31,3.4593,0
1988-12-31,4.1771,0.72
1989-12-31,3.6726,-0.5
1990-12-31,1.886,-1.79
1991-12-31,-0.1083,-1.99
1992-12-31,3.5224,3.63
1993-12-31,2.7518,-0.77
1994-12-31,4.0288,1.28
1995-12-31,2.6842,-1.34
1996-12-31,3.7726,1.09
1997-12-31,4.4472,0.67
1998-12-31,4.4814,0.03
1999-12-31,4.7945,0.31
2000-12-31,4.0772,-0.72
2001-12-31,0.9543,-3.12
2002-12-31,1.6959,0.74
2003-12-31,2.7962,1.1
2004-12-31,3.8526,1.06
2005-12-31,3.4832,-0.37
2006-12-31,2.7828,-0.7
2007-12-31,2.0105,-0.77
2008-12-31,0.1222,-1.89
2009-12-31,-2.5999,-2.72
2010-12-31,2.7089,5.31
2011-12-31,1.5499,-1.16
2012-12-31,2.2807,0.73
2013-12-31,1.8419,-0.44
2014-12-31,2.2878,0.45
2015-12-31,2.7064,0.42
2016-12-31,1.6675,-1.04
2017-12-31,2.2557,0.59
2018-12-31,2.9189,0.66
2019-12-31,2.2889,-0.63
2020-12-31,-3.4046,-5.69
2021-12-31,5.6711,9.08
