Macrotrends Data Download

U.S. GDP Per Capita 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,3007.1234
1961-12-31,3066.5629,1.98
1962-12-31,3243.8431,5.78
1963-12-31,3374.5152,4.03
1964-12-31,3573.9412,5.91
1965-12-31,3827.5271,7.1
1966-12-31,4146.3166,8.33
1967-12-31,4336.4266,4.59
1968-12-31,4695.9234,8.29
1969-12-31,5032.1447,7.16
1970-12-31,5234.2967,4.02
1971-12-31,5609.3826,7.17
1972-12-31,6094.018,8.64
1973-12-31,6726.359,10.38
1974-12-31,7225.6914,7.42
1975-12-31,7801.4567,7.97
1976-12-31,8592.2535,10.14
1977-12-31,9452.5765,10.01
1978-12-31,10564.9482,11.77
1979-12-31,11674.1819,10.5
1980-12-31,12574.7915,7.71
1981-12-31,13976.1054,11.14
1982-12-31,14433.7877,3.27
1983-12-31,15543.8937,7.69
1984-12-31,17121.2255,10.15
1985-12-31,18236.8277,6.52
1986-12-31,19071.2272,4.58
1987-12-31,20038.9411,5.07
1988-12-31,21417.0119,6.88
1989-12-31,22857.1544,6.72
1990-12-31,23888.6,4.51
1991-12-31,24342.2589,1.9
1992-12-31,25418.9908,4.42
1993-12-31,26387.2937,3.81
1994-12-31,27694.8534,4.96
1995-12-31,28690.8757,3.6
1996-12-31,29967.7127,4.45
1997-12-31,31459.139,4.98
1998-12-31,32853.677,4.43
1999-12-31,34515.3902,5.06
2000-12-31,36329.9561,5.26
2001-12-31,37133.6231,2.21
2002-12-31,37997.7597,2.33
2003-12-31,39490.275,3.93
2004-12-31,41724.6316,5.66
2005-12-31,44123.4071,5.75
2006-12-31,46302.0009,4.94
2007-12-31,48050.2238,3.78
2008-12-31,48570.046,1.08
2009-12-31,47194.9434,-2.83
2010-12-31,48650.6431,3.08
2011-12-31,50065.9665,2.91
2012-12-31,51784.4186,3.43
2013-12-31,53291.1277,2.91
2014-12-31,55123.8498,3.44
2015-12-31,56762.7295,2.97
2016-12-31,57866.7449,1.94
2017-12-31,59914.7778,3.54
2018-12-31,62805.2538,4.82
2019-12-31,65094.7994,3.65
2020-12-31,63027.6795,-3.18
2021-12-31,69287.5366,9.93
