DATE,GDP,,,,
1/1/2001,10470.231,,,,
2/1/2001,10470.231,,,,
3/1/2001,10470.231,,,,
4/1/2001,10599,,,,
5/1/2001,10599,,,,
6/1/2001,10599,,,,
7/1/2001,10598.02,,,,
8/1/2001,10598.02,,,,
9/1/2001,10598.02,,,,
10/1/2001,10660.465,,,,
11/1/2001,10660.465,,,,
12/1/2001,10660.465,,,,
1/1/2002,10783.5,,,,
2/1/2002,10783.5,,,,
3/1/2002,10783.5,,,,
4/1/2002,10887.46,,,,
5/1/2002,10887.46,,,,
6/1/2002,10887.46,,,,
7/1/2002,10984.04,,,,
8/1/2002,10984.04,,,,
9/1/2002,10984.04,,,,
10/1/2002,11061.433,,,,
11/1/2002,11061.433,,,,
12/1/2002,11061.433,,,,
1/1/2003,11174.129,,,,
2/1/2003,11174.129,,,,
3/1/2003,11174.129,,,,
4/1/2003,11312.766,,,,
5/1/2003,11312.766,,,,
6/1/2002,11312.766,,,,
7/1/2003,11566.669,,,,
8/1/2003,11566.669,,,,
9/1/2003,11566.669,,,,
10/1/2003,11772.234,,,,
11/1/2003,11772.234,,,,
12/1/2003,11772.234,,,,
1/1/2004,11923.447,,,,
2/1/2004,11923.447,,,,
3/1/2004,11923.447,,,,
4/1/2004,12112.815,,,,
5/1/2004,12112.815,,,,
6/1/2004,12112.815,,,,
7/1/2004,12305.307,,,,
8/1/2004,12305.307,,,,
9/1/2004,12305.307,,,,
10/1/2004,12527.214,,,,
11/1/2004,12527.214,,,,
12/1/2004,12527.214,,,,
1/1/2005,12767.286,,,,
2/1/2005,12767.286,,,,
3/1/2005,12767.286,,,,
4/1/2005,12922.656,,,,
5/1/2005,12922.656,,,,
6/1/2005,12922.656,,,,
7/1/2005,13142.642,,,,
8/1/2005,13142.642,,,,
9/1/2005,13142.642,,,,
10/1/2005,13324.204,,,,
11/1/2005,13324.204,,,,
12/1/2005,13324.204,,,,
1/1/2006,13599.16,,,,
2/1/2006,13599.16,,,,
3/1/2006,13599.16,,,,
4/1/2006,13753.424,,,,
5/1/2006,13753.424,,,,
6/1/2006,13753.424,,,,
7/1/2006,13870.188,,,,
8/1/2006,13870.188,,,,
9/1/2006,13870.188,,,,
10/1/2006,14039.56,,,,
11/1/2006,14039.56,,,,
12/1/2006,14039.56,,,,
1/1/2007,14215.651,,,,
2/1/2007,14215.651,,,,
3/1/2007,14215.651,,,,
4/1/2007,14402.082,,,,
5/1/2007,14402.082,,,,
6/1/2007,14402.082,,,,
7/1/2007,14564.117,,,,
8/1/2007,14564.117,,,,
9/1/2007,14564.117,,,,
10/1/2007,14715.058,,,,
11/1/2007,14715.058,,,,
12/1/2007,14715.058,,,,
1/1/2008,14706.538,,,,
2/1/2008,14706.538,,,,
3/1/2008,14706.538,,,,
4/1/2008,14865.701,,,,
5/1/2008,14865.701,,,,
6/1/2008,14865.701,,,,
7/1/2008,14898.999,,,,
8/1/2008,14898.999,,,,
9/1/2008,14898.999,,,,
10/1/2008,14608.208,,,,
11/1/2008,14608.208,,,,
12/1/2008,14608.208,,,,
1/1/2009,14430.901,,,,
2/1/2009,14430.901,,,,
3/1/2009,14430.901,,,,
4/1/2009,14381.236,,,,
5/1/2009,14381.236,,,,
6/1/2009,14381.236,,,,
7/1/2009,14448.882,,,,
8/1/2009,14448.882,,,,
9/1/2009,14448.882,,,,
10/1/2009,14651.248,,,,
11/1/2009,14651.248,,,,
12/1/2009,14651.248,,,,
1/1/2010,14764.611,,,,
2/1/2010,14764.611,,,,
3/1/2010,14764.611,,,,
4/1/2010,14980.193,,,,
5/1/2010,14980.193,,,,
6/1/2010,14980.193,,,,
7/1/2010,15141.605,,,,
8/1/2010,15141.605,,,,
9/1/2010,15141.605,,,,
